Technologie,Quadrant,Ring,Beschreibung
Kotlin,"Libraries, Frameworks und Programmiersprachen",Testen (Trial),"Kotlin ist eine statisch typisierte Programmiersprache, die Konzepte aus der objektorientierten und der funktionalen Programmierung vereint, und viele moderne Sprachfeatures mitbringt. Kotlin-Code wird vom Compiler in Bytecode für die JVM übersetzt [1], wobei eine grösstmögliche Interoperabilität [2] beider Sprachen gewährleistet wird. Dadurch lassen sich in Kotlin Java-Libraries und -Frameworks problemlos weiterverwenden, womit bestehendes Knowhow für den Java-Programmierer keinesfalls obsolet wird. Diese Interoperabilität erlaubt auch die Integration von Kotlin in bestehende Java-Projekte, womit sich Applikationen schrittweise modernisieren lassen.
Java als Plattform, auf die wir auch in Zukunft setzen möchten, hat sich für Enterprise-Applikationen über viele Jahre bestens bewährt. Durch das Commitment zur Rückwärtskompatibilität sind der Modernisierung von Java als Programmiersprache jedoch enge Grenzen gesteckt. Genau hier sehen wir grosses Potential in Kotlin, das beide Welten — bewährte Plattform und moderne Programmiersprache — in sich vereinen kann.
[1] Neben JVM-Bytecode kann Kotlin auch nach JavaScript oder nativen Programmdateien (MacOS, Windows, Linux) übersetzt werden.
[2] Kotlin-Code kann Java-Code aufrufen und umgekehrt."
Lit,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),"Mit Lit können effizient agnostische UI Komponenten für den Browser erstellt werden. Die plattform-nahe Library ermöglicht einen raschen Einstieg, hohe Wiederverwendbarkeit und einfache Komposition. Ein minimaler Footprint und eine durchdachte API sorgt für einen hohen Entwickler-/ und User-Komfort.
Primär setzen wir Lit für kleine und unabhängige UI Komponenten ein. Unter Einbezug von weiteren Libraries, z.B. für Routing, i18n und Validierung, realisieren wir auch komplette Business Applikationen."
OIDC,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),
Quarkus,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),"Mit Quarkus lassen sich für die Cloud optimierte Andwendungen entwickeln. Die etablierten und bewährten Java-Frameworks und -Bibliotheken (Best of Breed) können via Quarkus Extensions weiterhin verwendet werden. 
Quarkus stellt für uns eine leichtere Alternative zu JEE dar.
Aktuell realisieren wir einige Projekte basierend auf Quarkus. Als Monolithen und auch als Microservices im Openshift/Kubernetes Umfeld in Form von Portal-Lösungen.
Unsere Container-Applikationen und Kunden profitieren stark von Quarkus dank schneller Entwicklungszeit, Verwendung bestehender/bewährter Bibliotheken. Dank Optimierungen von Quarkus zur Build-Zeit kommen unsere Applikationen, Benutzer in den Genuss schnellem Applikations-Starts, niedrigem Bedarf an Memory, Speicher- und CPU-Ressourcen."
REST Assured,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),
Spring Boot,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),
Testcontainers,"Libraries, Frameworks und Programmiersprachen",Testen (Trial),"Testcontainers (for Java*) ist eine Bibliothek, welche die Verwendung von Docker Containern innerhalb von JUnit Tests vereinfacht. Wir verwenden Testcontainer unter anderem für die Realisierung von Integrationstests bei unseren Uniport-Projekten - z.B. um den Datenbankzugriffs-Layer zu testen. Weiter bietet https://quarkus.io/ eine sehr gute Integration von Testcontainers und der Einsatz bietet sich insbesondere bei allen unseren Quarkus basierten Projekten an.

(*) die Bibliothek gibt es auch für weitere Sprachen wie z.B. Go, Phython oder .NET"
Turbopack,"Libraries, Frameworks und Programmiersprachen",Abschätzen (Assess),"Turbopack ist ein next-generation bundler. Es positioniert sich als Nachfolger von Webpack und die Entwicklung wird vom Gründer von Webpack geleitet. Es ist um einiges schneller als die existierenden bundlers. Der Hauptgrund ist, dass Turbopack mit einer Ausführungseinheit namens Turbo Engine in Rust geschrieben ist. Diese Turbo Engine erlaubt die inkrementelle Kompilierung. In der Praxis bedeutet das, dass eine Funktion nur einmal aufgerufen wird und die Resultate davon zwischengespeichert werden. Weil die Inventage AG auch Expertise in der Frontend-Entwicklung besitzt, sind moderne Ansätze immer von Interesse. Turbopack ist von Interesse, weil es den Entwicklungsprozess beschleunigen kann."
TypeScript,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),"TypeScript ist ein superset von JavaScript, welches eine statische Typisierung der Sprache erlaubt. Der source code wird mit einem Transpiler wieder in JavaScript transpilliert. Es vereinfacht und verbessert die Entwicklung von JavaScript Applikationen, da durch die zusätzliche Typisierung mehr Sicherheit beim Entwickeln entsteht. Da wir bei Inventage AG auch grosse Projekte mit viel Fokus auf Frontend haben, ist es uns sehr wichtig, dass auch dort die Qualität des Source Codes gewährleistet werden kann. Schon heute wird TypeScript in unseren Projekten eingesetzt, was bereits bemerkbar zu einer besseren Code Qualität und effizienter Entwicklung geführt hat. Aus diesem Grund empfehlen wir TypeScript, statt JavaScript, zu verwenden, weshalb wir diese Technologie gerne in unseren Projekten verbreiten möchten."
Argo CD,Tools,Verbreiten (Adopt),
asdf,Tools,Verbreiten (Adopt),"asdf ist ein command line basiertes version management tool für allerlei Systeme und tools. Statt separate version managers für Systeme wie z.B. node, maven, ruby, etc. zu verwenden, kann asdf alle gleichzeitig Verwalten. Dafür verwendet asdf ein Plugin-System, die man pro tool installieren muss. In Projekte kann zusätzlich sicher gestellt werden, dass alle Entwickler die gleiche Versionsnummer verwenden, indem man eine .tool-versions Datei hinzufügt, die alle Versionen der benötigten tools auflistet. Durch die Verwendung dieses version managers, werden Arbeitsprozesse und Know-how vereinheitlicht und vereinfacht somit das Arbeiten in Teams."
AsyncAPI,Tools,Abschätzen (Assess),
Bazel,Tools,Abschätzen (Assess),"Bazel ist ein von Google entwickeltes Open Source Build-Werkzeug, das mit komplexen Projekten, in denen verschiedene Sprachen und Plattformen eingesetzt werden, gut und effizient umgehen kann.
Unsere Projekte werden heute meistens mit Maven, Gradle oder einer Kombination aus verschiedenen Shell-Skripten gebaut. Weil aber die Komplexität der Projekte (Microservices, Cloud), die Vielfalt der eingesetzten Technologien und Programmiersprachen (Trennung Front- & Backend) sowie die Anforderungen an die erstellten Artefakte (Unterstützung mehrerer Architekturen) zugenommen hat, wollen wir Bazel als Alternative zu unseren gängigen Werkzeugen ausprobieren."
Buildah,Tools,Testen (Trial),
Debezium,Tools,Verbreiten (Adopt),"Debezium ist ein Open-Source-Projekt, welches Change Data Capture (CDC) für verschiedene Datenbanken (MySQL, PostgreSQL, MongoDB, Oracle) bereitstellt. Mit CDC können Änderungen in einer Datenbank überwacht und in Echtzeit an andere Systeme übermittelt werden. Debezium wurde entwickelt, um Integrationsprozesse zwischen Anwendungen und Datenbanken zu vereinfachen und zu automatisieren, indem es Änderungen an Datenbanken in Echtzeit erfasst und an andere Systeme weiterleitet.
Bei Inventage setzen wir Debezium vor allem zusammen mit Kafka ein, um eine Form der Outbox Pattern zu realisieren. Die Anwendungen publizieren Nachrichten nicht direkt auf Kafka, sondern speichern diese mit den restlichen Datenbankänderungen in eine speziell konfigurierte Outbox-Tabelle. Debezium erstellt uns Kafka Connectors, welche Änderungen auf dieser Outbox-Tabelle überwachen und in Echtzeit an die Kafka-Topics senden. Auf diese Weise wird die Integrität von Nachrichten sichergestellt, unsere Datenänderungen und Kafka-Nachrichten werden über die gleiche Transaktion geschrieben (oder im Fehlerfall zurückgesetzt).
Quarkus (→ Quarkus) bietet für die Konfiguration von Debezium ein eigenes Maven Modul an. So lässt sich die die Outbox Pattern in Quarkus relativ einfach konfigurieren."
Elastic Stack,Tools,Verbreiten (Adopt),"Der Elastic Stack besteht im Herz aus Elasticsearch, einem clusterfähigen und robusten Search Index ""Elasticsearch"" und dazu passenen Werkzeugen zum Sammeln, Verarbeiten und Visualiseren von Daten, sowie zum Betreiben des Clusters.
Mögliche Quellen von Daten sind z.B Applikationslogs, Servermetriken oder Umgebungssensoren. Es lassen sich aber auch ganze Dokumente oder Webseiten indizieren, um anschliessend effizient nach den Dokumenten zu suchen und finden zu können oder sie weiter zu analysieren. Basierend auf dem Index und Shard Konzept aufbauend auf Apache Lucene skaliert Elasticsearch hervorragend und kann bei Bedarf vergrössert/verkleinert werden.
Für Inventage kann fast jede Applikation einen Search Index & co gebrauchen. Entweder im effizienten Betrieb und Überwachung von Applikationen, speziell im Microservice multi-Container Umfeld. Aber auch eine Dokumentsuche über das gesammte Portal mit allen Dokumenten steigert die Produktivität der Benutzer.
ElastiStack hat sich schon in mehreren Projekten ausgezeichnet bewährt. Wir setzen ihn aktiv in der Produktion für die Dokumentensuche und für Systemüberwachung (Observability) ein."
Flyway,Tools,Verbreiten (Adopt),"Als Datenbank-Migrationstool erlaubt es Flyway, auf eine festgelegte Weise, von einem Datenbankzustand zum nächsten zu migrieren, zu jeder Zeit über den aktuellen Stand der Datenbank informiert zu sein und so auch im Bereich der Datenbank eine vergleichbar gute Kontrolle über Änderungen zu erhalten, wie man sich dies im Bereich des restlichen Applikationscodes mit Versionskontrolle, reproduzierbaren Builds und → CI/CD gewohnt ist.
Migrationen werden als SQL-Skripte implementiert. Dies erlaubt den Zugriff auf den gesamten Funktionsumfang der Datenbank und macht eine zwischengeschaltete Übersetzungsschicht (z.B. in Form von datenbankunabhängigen Änderungsdefinitionen in XML) überflüssig. Migrationsskripte in Java sind ebenfalls möglich, wurden bei Inventage aber bisher noch nicht eingesetzt.
Flyway kümmert sich darum, dass auf einem gegebenen Datenbankschema alle verfügbaren, noch nicht eingespielten Migrationsskripte in der richtigen Reihenfolge angewendet werden. Die Migration kann applikatorisch angestossen werden, wodurch sichergestellt wird, dass die Applikation immer das aktuellste Schema verwendet. Dies setzen wir bei Inventage sowohl lokal bei der Entwicklung, als auch in produktiven Systemen erfolgreich ein.
Flyway haben wir dem Ring ""Verbreiten"" zugeordnet, um auszudrücken, dass wir das Tool als gleichwertige Alternative zum ebenfalls bei Inventage eingesetzten Konkurrenten Liquibase erachten."
Grafana,Tools,Verbreiten (Adopt),
Insomnia,Tools,Verbreiten (Adopt),"Insomnia ist ein REST-API-Client, der sich gut für das Testen der RESTful Service-Schnittstelle unserer Applikationen eignet. Requests lassen sich auf einfache Weise organisieren, speichern und ausführen. Neben rein HTTP-basierten Requests werden auch SOAP, GraphQL und gRPC unterstützt. Umgebungsspezifische Daten wie Base-URLs, Authentisierungs-Tokens, Cookies etc. können in sogenannten Environments verwaltet und bei Bedarf aktiviert werden. Code-Generatoren für das Ausführen der Requests z.B. mittels cURL sind ebenfalls sehr nützlich. Die Desktop-Applikation läuft auf Linux, Mac und Windows.
Bei Inventage wird das Tool in verschiedenen Projekten als hervorragende Alternative zu Postman genutzt. Dabei wird besonders die Möglichkeit zum Exportieren vollständiger Insomnia-Workspaces geschätzt. Dieses Feature erleichtert das gemeinsame Nutzen einzelner Requests oder ganzer Test-Suiten innerhalb des Projektteams ungemein."
Jenkins,Tools,Halten (Hold),"Wir verwenden Jenkins als Build-, Continuous-Integration- und Continuous-Delivery-Server seit vielen Jahren bei einer grossen Zahl unserer Projekte. Die Plugin-Architektur von Jenkins erlaubt es, dies projekt-spezifischen Anforderung zu erfüllen. Allerdings zeigen sich die Schattenseiten dieser Architektur, wenn es zum Beispiel darum geht, Jenkins-Updates zu installieren, da veraltete Plugins oder Kompatibilitätsprobleme unter den Plugins zu etlichem Mehraufwand führen können. Alternativen sehen wir in moderneren CI/CD Plattformen wie GitLab oder GitHub Actions."
Keycloak,Tools,Verbreiten (Adopt),
kind (Kubernetes in Docker),Tools,Testen (Trial),"kind (https://kind.sigs.k8s.io/) stellt Kubernetes-Cluster als Container-Images bereit, welche bequem auf einer Docker-Umgebung (z.B. Entwicklungsrechner) gestartet werden können. Der Vorteil von kind ist ganz klar seine Leichtgewichtigkeit und kurze Startup-Zeit. Wir setzen kind bereits in einigen Projekten als ad-hoc Testcluster auf Entwicklungsrechnern ein und können so Szenarien mit verschiedenen Kubernetes Versionen schnell testen.
Die Schnelligkeit von kind macht ihn auch zu einem passenden Kandidaten, um ad-hoc Cluster in CI-Umgebungen zu starten. Dies wollen wir testen und weiter Erfahrung sammeln."
minikube,Tools,Verbreiten (Adopt),"minikube (https://minikube.sigs.k8s.io/docs/start/) stellt ähnlich wie kind Kubernetes Cluster bereit welche als Container oder alternativ auch mit einem Hypervisor gestartet werden können. Von der Usability her ähnlich einfach wie `kind` wird `minikube` sowohl als ad-hoc Testcluster als auch zur Entwicklung bei Inventage eingesetzt. Da Erfahrungsgemäss generell etwas langsamer als `kind` haben wir bisher vom Einsatz in CICD Pipelines abgesehen - das Rennen um schnelle lokale Kubernetes Test- und Enwicklungsumgebungen bleibt jedoch weiterhin spannend, siehe z.B. https://minikube.sigs.k8s.io/docs/benchmarks/timetok8s/"
Podman,Tools,Testen (Trial),
Postgres,Tools,Verbreiten (Adopt),"PostgreSQL (oder vereinfacht Postgres) ist eine (objekt-)relationale, Open Source Datenbank. Postgres bietet - im Vergleich zu rein relationalen Datenbanken (wie z.B. MySQL) - Support für benutzerdefinierte Datentypen und unterstützt standardmässig eine Vielzahl von nützlichen Datentypen - wie z.B. money für die Persistierung von Geldbeträgen. Bei Inventage schätzen wir Postgres als hochverfügbare, skalierbare und sichere Datenbank und setzen Postgres bei all jenen Projekten ein, bei welchen nicht explizit eine andren Datenbank durch den Kunden erwünscht wird."
Postman,Tools,Halten (Hold),"Ursprünglich ein Browserplugin, inzwischen eine Plattform die beim Erstellen und Testen von HTTP-APIs unterstützt. Während Postman beim einzelnen Request sehr viel komfortabler zu verwenden ist als beispielsweise curl, gestaltet sich die systematische und kollaborative Arbeit damit aufgrund der schlecht durchdachten Datenschnittstellen eher schwerfällig. So muss eine Änderung an Test-Collections explizit als JSON exportiert werden, um sie im git-Repository einchecken zu können. Weiter ist das Testformat – JavaScript – schwierig refactorbar. Strategisch setzen wir deshalb auf das vergleichbare, aber besser durchdachte Tool 'Insomnia'."
Vite,Tools,Abschätzen (Assess),"Vite ist ein Dev Server und Bundler für JavaScript und TypeScript Applikationen.
Unabhängig von der Projektgrösse, garantiert der Dev Server schnelle Ladezeiten, da nur benötigter Code ausgeliefert wird, Bundles unnötig sind und transpilierter Code zwischengespeichert wird.
Auch der Production Build kann mittels CLI gestartet werden und benötigt initial keine Konfigration. Mittels Rollup Based Plugins kann der Production Build modifiziert werden und diverse Web Frameworks unterstützt werden."
Web Dev Server,Tools,Verbreiten (Adopt),"Web Dev Server ist ein Dev Server für JavaScript Applikationen.
Unabhängig von der Projektgrösse, garantiert der Dev Server schnelle Ladezeiten, da nur benötigter Code ausgeliefert wird, Bundles unnötig sind und transpilierter Code zwischengespeichert wird.
Wir schätzen den Dev Server auf Grund seiner Leichtigkeit, Effizienz und Anpassungsfähigkeit."
